Style                                        ,beer_count,      bjcp_category
Altbier                                      ,34,         7
Amber Lager                                  ,72,         2
American Amber Ale                           ,90,         19
American Brown Ale                           ,80,         19
American IPA                                 ,930,        21A
American Pale Ale                            ,471,        18
American Stout                               ,49,         20
American Wheat/Rye                           ,98,         1
American Wild Ale                            ,103,        28
Barley Wine                                  ,131,        17
Belgian Blond Ale                            ,140,        24
Belgian Dark Strong Ale                      ,67,         26
Belgian Dubbel                               ,57,         26
Belgian Golden Strong Ale                    ,88,         25
Belgian IPA                                  ,21,         21B
Belgian Pale Ale                             ,56,         24
Belgian Quadrupel / ABT                      ,20,         26
Belgian Specialty Ale                        ,15,         - 
Belgian Tripel                               ,95,         26
Berliner Weisse                              ,91,         23
Biere de Garde                               ,8,          24
Bière de Champagne / Bière Brut              ,13,         24
Black IPA                                    ,90,         21B
Blond Ale                                    ,102,        18
Bohemian Pilsener                            ,130,        5
California Common                            ,9,          19
Catharina Sour                               ,168,        -
Christmas/Winter Specialty Spiced Beer       ,9,          30
Classic American Pilsner                     ,24,         1
Cream Ale                                    ,33,         1
Dark American Lager                          ,41,         2
Doppelbock                                   ,67,         9
Dortmunder Export                            ,14,         -
Dry Stout                                    ,102,        -
Eisbock                                      ,2,          9
English Brown Ale                            ,24,         13
Extra Special Bitter/English Pale Ale        ,132,        5
Flanders Brown Ale/Oud Bruin                 ,7,          23
Flanders Red Ale                             ,13,         23
Foreign Extra Stout                          ,14,         16
Fruit Beer                                   ,217,        29
German Dunkelweizen                          ,18,         10
German Kristallweizen                        ,5,          10
German Pilsner                               ,177,        5
German Roggenbier                            ,6,          24
German Weizen                                ,395,        10
German Weizenbock                            ,46,         10
Grodziskie/Gose/Lichtenhainer                ,74,         23
Imperial / Double IPA                        ,700,        22
Imperial / Strong Porter                     ,34,         -
India Pale Ale (IPA)                         ,629,        22
India Pale Lager                             ,114,        -
Irish Red Ale                                ,175,        15
Japanese Rice Lager                          ,1,          -
Keller/Zwickel                               ,6,          27
Kölsch                                       ,56,         5
Lambic - Faro                                ,1,          23
Lambic - Fruit                               ,9,          23
Lambic - Gueuze                              ,4,          23
Lambic - Straight                            ,1,          -
Lite American Lager                          ,38,         1
Maibock/Helles Bock                          ,16,         4
Malt Liquor                                  ,5,          -
Malzbier                                     ,24,         -
Mild Ale                                     ,8,          -
Munich Dunkel                                ,55,         8
Munich Helles                                ,71,         4
New England IPA                              ,9,          21
Oatmeal Stout                                ,87,         16
Oktoberfest/Marzen                           ,60,         -
Old Ale                                      ,21,         17
Other Smoked Beer                            ,25,         72
Outros Hidromel / Mead                       ,2,          -
Porter                                       ,173,        13    
Premium American Lager                       ,448,        -    
Pumpkin Ale                                  ,44,         -
Rauchbier                                    ,62,         6
Russian Imperial Stout                       ,587,        20    
Saison / Farmhouse                           ,207,        24    
Schwarzbier                                  ,44,         8
Scottish                                     ,29,         14
Sem álcool                                   ,27,         -
Session IPA                                  ,249,        21    
Special/Premium Bitter                       ,14,         -
Specialty Beer                               ,164,        34   
Specialty Cider and Perry                    ,8,          -
Spice/Herb/Vegetable Beer                    ,33,         30
Standard American Lager                      ,231,        1    
Standard Bitter                              ,4,          -
Steam Beer                                   ,1,          -
Strong Scotch Ale                            ,32,         25
Sweet Stout                                  ,49,         16
Traditional Bock                             ,54,         9
Vienna Lager                                 ,107,        7    
Witbier                                      ,255,        24    
Wood Aged Beer                               ,312,        33